wave,Id,Owns Property,Weekly Gross Income,FY disposable income +,FY disposable income -
14,181251,0,1450,87078,0
18,186231,0,2150,92486,0
6,24931,0,730,38340,0
10,31581,0,1150,58126,0
14,177321,0,1250,53637,0
18,177811,0,1200,52523,0
6,62311,1,0,35048,0
10,64061,1,0,43053,0
14,150951,1,0,49259,0
18,150361,1,0,50879,0
6,62311,1,0,0,200
10,64061,1,0,0,1200
14,150951,1,0,0,0
18,150361,1,0,0,0
6,13301,1,0,6903,0
10,13561,1,0,9469,0
14,131641,1,0,18804,0
18,130881,1,0,17178,0
6,13301,1,0,24326,0
10,13561,1,0,36527,0
14,131641,1,0,23470,0
18,130881,1,0,30433,0
6,30921,0,487,24162,0
10,18571,0,672,13800,0
14,124561,0,0,38028,0
18,123951,1,928,40229,0
6,30921,0,240,0,10000
10,27791,0,0,1500,0
14,173741,1,1100,42572,0
18,175851,1,0,24816,0
6,37791,1,0,68609,0
10,35371,1,0,227914,0
14,180531,1,0,111874,0
18,181171,1,0,115792,0
6,37791,1,0,68609,0
10,35371,1,0,53914,0
14,180531,1,0,93464,0
18,181171,1,0,100792,0
6,5971,1,1340,47288,0
10,6771,1,620,18644,0
14,114181,1,0,16900,0
18,113761,1,0,9490,0
6,10361,1,0,24023,0
10,11331,1,0,24903,0
14,118121,1,0,19831,0
18,117531,1,0,21124,0
6,10361,1,0,12517,0
10,11331,1,0,13805,0
14,118121,1,0,23120,0
18,117531,1,0,25295,0
6,21711,1,0,60202,0
10,571,1,0,29650,0
14,100511,1,0,54423,0
18,100481,1,0,87000,0
6,27431,1,0,0,0
10,38541,1,0,0,2000
14,186751,1,0,0,0
18,187551,1,0,0,0
6,40421,0,650,28952,0
10,38631,1,1544,61043,0
14,183491,1,4000,61803,0
18,184071,1,988,60325,0
6,40431,0,526,20047,0
10,41731,0,390,19340,0
14,187291,1,0,17747,0
18,188021,1,0,42536,0
6,60531,1,0,58245,0
10,61581,1,0,9470,0
14,147931,1,0,122500,0
18,147441,1,0,46900,0
6,60531,1,900,55197,0
10,61581,1,547,73146,0
14,147931,1,527,22600,0
18,147441,1,211,209000,0
6,59891,1,696,34400,0
10,60771,1,700,25803,0
14,147821,1,0,18343,0
18,147381,1,443,48948,0
6,42031,1,0,12528,0
10,40751,1,0,15620,0
14,185611,1,0,17040,0
18,186001,1,0,14410,0
6,56121,0,260,16540,0
10,56961,0,300,18559,0
14,144671,0,276,14400,0
18,144511,1,400,34292,0
6,56121,1,0,9732,0
10,56961,1,0,15200,0
14,144671,1,0,12500,0
18,144511,1,0,20300,0
6,11661,1,1398,33649,0
10,12661,1,1168,46331,0
14,119301,1,540,21000,0
18,118751,1,0,48265,0
6,11661,1,450,22304,0
10,12661,1,600,30089,0
14,119301,1,0,3450,0
18,118751,1,0,26818,0
6,41781,1,730,30918,0
10,40381,1,0,14655,0
14,185261,1,0,14358,0
18,185631,1,324,41331,0
6,38911,1,69,62598,0
10,14531,1,2140,87203,0
14,131661,1,2839,113564,0
18,130891,1,3011,130687,0
6,38911,1,575,25677,0
10,14531,1,0,1983,0
14,131661,1,40,0,310
18,130891,1,0,0,0
6,27111,1,680,38781,0
10,36491,1,900,38345,0
14,171881,1,998,53114,0
18,186251,1,0,45160,0
6,27111,1,950,39850,0
10,36491,1,1590,44424,0
14,171881,1,1273,58092,0
18,186251,1,0,63161,0
6,50701,1,649,35823,0
10,51001,1,1625,61316,0
14,210951,1,1657,74619,0
18,210931,1,2210,85174,0
6,50701,1,1400,63116,0
10,51001,1,1535,52019,0
14,210951,1,1500,66122,0
18,210931,1,1200,59164,0
